Belgorod Oblast,"Korochansky District","Witch’s Orchard","An orchard rumored to belong to a local witch centuries ago. At midnight, the trees allegedly sway without wind, and shadows flit between them in unnatural shapes."
Belgorod Oblast,"Shebekino","The Cursed Barn","Once a storehouse that burned repeatedly. Residents believe the spirit of a wronged peasant set a curse, as passersby hear phantom sobbing from the charred ruins at night."
Belgorod Oblast,"Valuyki","Valuy River Mermaids","Folklore warns against swimming alone after dusk, citing pale figures combing hair on the banks. Some claim to see their greenish faces vanish when approached."
Belgorod Oblast,"Rakitnoye","Chiming Chapel Ruins","A chapel bombed in WWII reportedly still emits faint bell chimes in the silence of early morning. Locals leave small offerings near the rubble for lost souls."
Belgorod Oblast,"Veydelevka","Leshy of the Oak Grove","A forest spirit who protects ancient oak stands. Hunters who disrespect the forest find their paths blocked by tangles of branches or strange illusions."
Belgorod Oblast,"Novooskolsky District","Floating Lights of the Oskol River","Occasional glowing spheres drift above the river. Old-timers say they’re the lanterns of drowned traders forever seeking shore."

Bryansk Oblast,"Bryansk Forest Reserve","Bryansk Wolf Spirit","Wolves in this vast reserve are said to be led by a giant, white alpha with glowing eyes. Rangers claim this spirit warns of ecological harm, howling strangely before storms."
Bryansk Oblast,"Starodub","Polish-Lithuanian Wraiths","A border region once contested by multiple powers, rumored to host the ghosts of fallen soldiers. Misty nights bring faint troop movements and distant drumbeats near old battlefields."
Bryansk Oblast,"Trubchevsk","Desna River Siren","Locals share tales of a mesmerizing female voice echoing across the river bends. Fishermen who follow it often lose their sense of direction until dawn."
Bryansk Oblast,"Seltso","Ghost of Mikhail Kutuzov’s Orders","Napoleonic War general Kutuzov purportedly stayed here, leaving behind strategic notes. Staff at a local museum claim to hear rustling papers and a firm voice issuing commands."
Bryansk Oblast,"Dyatkovo","Demon of the Glass Factory","Once a thriving crystal glass center, workers spoke of a demon who shattered flawed pieces. Night watchmen still hear glass clinking in deserted production halls."
Bryansk Oblast,"Surazh","The Rattling Cart","Folk stories speak of a phantom cart carrying plague victims in the 18th century. During full moons, squeaking wheels and muffled groans are reportedly heard along old dirt roads."
Bryansk Oblast,"Unecha","Cursed Oil Field","Rumor has it repeated accidents occur at an oil site cursed by local shamans. Workers talk of hearing chanting on windless nights, making them uneasy about drilling deeper."
Bryansk Oblast,"Klintsovsky District","Werebear of the Woods","Like a werewolf legend, but with a bear transformation tied to an old woodsman’s curse. Hunters claim to find half-human footprints and gutted prey near hidden dens."
Bryansk Oblast,"Zhiryatino","Haunted Mason’s Lodge","Remains of a secret society’s building, said to be sealed by arcane rites. Explorers sense an oppressive atmosphere and faint chanting if they linger too long."
Bryansk Oblast,"Bryansk City","Rusalka of the Snezhet River","A water spirit rumored to inhabit a lesser-known tributary. Children playing near the shore hear giggles and see ripples with no visible cause."

Chechen Republic,"Grozny","Ghost Minaret Calls","During reconstruction after conflicts, some workers claim to hear ghostly adhan (call to prayer) from destroyed minarets at midnight. A few believe it’s a spiritual reminder of resilience."
Chechen Republic,"Shali","Legend of Nokhcho Wolf Warriors","Chechen tradition reveres wolves as clan protectors. Locals sometimes describe seeing ghostly wolves circling old battlegrounds, believed to be ancestors guarding the land."
Chechen Republic,"Vedeno","Cave of Imam Shamil’s Followers","A hideout for 19th-century Caucasian Imamate rebels. Nights bring distant rifle echoes and murmured prayers in the labyrinthine caverns."
Chechen Republic,"Itum-Kale","Argun Gorge Phantoms","Towering watchtowers once guarded these passes. Travelers occasionally see flickering torches high on abandoned towers, possibly phantom guards from centuries past."
Chechen Republic,"Lake Kezenoy-Am","Lake of Whispering Spirits","Shared by Chechnya and Dagestan, legends speak of drowned villages whose voices still echo underwater. Boaters have reported muffled chanting from the depths during calm afternoons."
Chechen Republic,"Groznensky District","Healing Spring of Kharachoi","A hillside spring rumored to cure ailments, if approached with pure intent. Villagers mention seeing wisps of bright light hovering over the water at dawn."
Chechen Republic,"Sharoy","Guardian Towers","Ancient tower complexes believed to be protected by family ancestors. At night, visitors sense unseen eyes watching from arrow slits in the stone."
Chechen Republic,"Urus-Martan","Mountain Djinn Encounters","Folktales of djinn living in high caves, occasionally trading with herders. Some shepherds claim a robed stranger guided them through thick fog, then vanished at sunrise."
Chechen Republic,"Nadterechny District","Elder Tree of Terek River","An immense tree by the river said to house the spirit of an ancient elder. Locals warn that cutting its branches brings immediate misfortune."
Chechen Republic,"Achkhoy-Martan","Ghost Battle Reenactments","Legends of old clan feuds replayed in certain mountain clearings. Hunters speak of hearing swords clash and war cries in the distance, fading upon approach."

Chuvash Republic,"Cheboksary","Volga Maiden of Cheboksary Bay","A local spin on the rusalka myth. Boat tours sometimes claim to see a pale figure near the water’s surface, singing in a language akin to old Chuvash dialect."
Chuvash Republic,"Tsivilsk","Tsivil River Water Spirit","A protective nymph who punishes those polluting the river. Townsfolk recall times when factories faced inexplicable shutdowns after dumping waste."
Chuvash Republic,"Kanash","Kanash Railroad Ghosts","A major railway hub where spectral trains are rumored to pass at odd hours. Night-shift workers have heard phantom whistles and glimpsed old steam locomotives vanish on dead-end tracks."
Chuvash Republic,"Yadrin","Fiery Serpent Legend","A serpent-like creature from Chuvash lore that can transform into a handsome youth. Grandmothers warn young women not to walk alone at dusk or risk being enthralled by this shape-shifter."
Chuvash Republic,"Alikovo","Sacred Oak Grove","An oak grove revered in pre-Christian times, still rumored to be home to forest spirits. People claim to hear flutes at twilight, though no musician is ever found."
Chuvash Republic,"Mariinsky Posad","Thunderbird of the Volga","A giant bird said to appear before severe storms. Fishermen claim it soared over the river, unleashing thunderclaps that shook boats."
Chuvash Republic,"Kozlovka","Hill of Old Gods","Local legends say pagan idols once stood here, destroyed after Christianization. Some nights, faint chanting can be heard, as if ancient rites continue invisibly."
Chuvash Republic,"Ibresi","The Spinning Maiden","A ghostly maiden who appears by spinning wheels in abandoned farmhouses, finishing the cloth of those who died before completing their weaving. Residents who find new cloth in old wheels attribute it to her."
Chuvash Republic,"Batyrevo","Rain Summoners","A tradition of women who chant to bring rain during drought. If they gather near a sacred spring, local farmers swear storms often arrive immediately afterwards."
Chuvash Republic,"Shumerlya","White Stag of the Forest","A magical stag that roams dense woodlands. Hunters who try to shoot it report their guns jamming or seeing illusions of the stag vanish into thin air."

Irkutsk Oblast,"Irkutsk City","House of Suvorov’s Mistress","A 19th-century mansion where an officer’s lover died tragically. Neighbors hear her sobbing on moonless nights, and some see her silhouette in an upstairs window."
Irkutsk Oblast,"Listvyanka","Lake Baikal’s Shaman Cape","A rocky promontory considered sacred by local Buryats. Tourists feel an intense energy, and at times, pillars of light appear at sunset—believed to be blessings from the spirits."
Irkutsk Oblast,"Olkhon Island (shares with Buryatia, but accessible from Irkutsk side)","Shaman Rock Apparition","Night travelers see floating lights near the rock, rumored to be guardian spirits. Some claim hearing drums echoing across the water in calm weather."
Irkutsk Oblast,"Ust-Kut","Ghost Barges","Stories of 19th-century trading barges drifting silently on the Lena River. Steamboat captains occasionally catch glimpses of old wooden craft gliding upstream against the current."
Irkutsk Oblast,"Taishet","Taiga Werebears","Similar to werewolf legends but with bears. Locals share tales of half-bear, half-human creatures that roam logging roads at dusk."
Irkutsk Oblast,"Angarsk","Angara River Water Bride","An enchanting spirit in a white gown said to appear on the riverbank, representing the Angara’s longing for her ‘beloved Yenisei River.’ Legend is linked to the well-known Baikal-Angara-Yenisei myth cycle."
Irkutsk Oblast,"Cheremkhovo","Haunted Coal Mine","Miners report hearing picks striking rock in deserted shafts. Flickering lanterns appear in tunnels that collapsed decades ago."
Irkutsk Oblast,"Bratsk","Phantom Village of Bratsk Reservoir","When the reservoir was flooded, entire villages vanished underwater. Boaters mention seeing rooftops or hearing church bells from beneath the surface on quiet evenings."
Irkutsk Oblast,"Zheleznogorsk-Ilimsky","Iron Beast of the Hills","A local urban legend about a massive metal-scaled creature sighted near ore mines. Some claim it’s an underground spirit that punishes over-mining."
Irkutsk Oblast,"Nizhneilimsky District","Whispering Pines","Wind through dense pine forests creates eerie vocal-like sounds. Hunters say these voices sometimes call them by name, warning them away from sacred groves."

Kaliningrad Oblast,"Kaliningrad (Former Königsberg)","Kant’s Phantom in the Cathedral","Immanuel Kant’s grave at the cathedral is rumored to glow faintly on certain evenings. Tourists claim a pensive figure in old-fashioned attire strolls the grounds at twilight."
Kaliningrad Oblast,"Svetlogorsk (Rauschen)","Amber Siren","A Baltic Sea mermaid who collects amber from the shore. Beachgoers occasionally glimpse a glittering silhouette at dawn, said to vanish when approached."
Kaliningrad Oblast,"Curonian Spit","Dancing Forest Mystery","Pine trees grow in twisted shapes. Locals propose supernatural reasons—from playful spirits to a dancing curse—causing the bizarre trunk formations."
Kaliningrad Oblast,"Zelenogradsk (Cranz)","Cat City Legends","Nicknamed ‘the city of cats,’ with many cat statues and strays. Some mythically tie cats here to protective house spirits that roam the streets at night, chasing away evil energies."
Kaliningrad Oblast,"Baltiysk (Pillau)","Phantom Lighthouse Keeper","A lonely caretaker who died at his post supposedly still turns the light on stormy nights. Sailors see the beam active even if the official staff is off duty."
Kaliningrad Oblast,"Brandenburg Castle Ruins","Teutonic Knight Ghosts","Remaining Teutonic fortifications said to be patrolled by knights in spectral armor. Explorers claim to hear clashing swords and see shining helmets in the moonlit rubble."
Kaliningrad Oblast,"Gusev (Gumbinnen)","Invisible Accordionist","An old marketplace tradition where polka music was once popular. Some evenings, townsfolk report faint accordion tunes drifting through empty streets."
Kaliningrad Oblast,"Polessk (Labiau)","Wolf of Labiau Castle","A werewolf-like legend from Prussian times. Locals talk about a giant wolf that roams castle grounds on full moons, leaving deep paw prints near locked gates."
Kaliningrad Oblast,"Chernyakhovsk (Insterburg)","Spectral Horse from the Castle Moat","Rumor says a horse drowned in the moat centuries ago and returns as a pale apparition galloping through the fortress yard. Night guards have heard hoofbeats splash in non-existent water."
Kaliningrad Oblast,"Nesterov (Stallupönen)","Wandering Alchemist","A traveling alchemist rumored to search for hidden vaults of amber. Witnesses see a hooded figure near old bunkers, vanishing whenever approached."

Region,Location,Story Name,Two-Sentence Summary
Kaluga Oblast,"Tarusa","Poets' Ghost on the Oka River","Tarusa has long attracted Russian poets; some say their restless spirits linger on the riverbank. At dusk, passersby hear distant verses carried on the breeze."
Kaluga Oblast,"Kaluga City","Tsar Cannon That Fired No Shots","A ceremonial cannon gifted by the Tsar remains in the city center, rumored to be cursed if ever fired. Legends claim misfortune befalls anyone who attempts to load it."
Kaluga Oblast,"Optina Pustyn (near Kozelsk)","Optina Elders' Apparitions","Renowned for its monastery's spiritual elders, some visitors report seeing robed figures vanish around corners. Whispered prayers echo in corridors even when the church is empty."
Kaluga Oblast,"Kozelsk","Skein of the Tatar Siege","During the Mongol siege of Kozelsk, it’s said a woman’s tears knitted a magical thread that protected defenders. Locals claim you can still find fragments of this ‘skein’ in old walls if you look closely."
Kaluga Oblast,"Lyudinovo","Factory Siren at Midnight","Workers used to hear a factory whistle blow at midnight when no shifts were scheduled. Rumor says a spirit keeps watch, ensuring the machinery is respected."
Kaluga Oblast,"Borovsk","Saint Pafnuty’s Vision","The saint who founded Borovsk Monastery reportedly saw angels guiding him to its location. A faint glow appears at the monastery gates on holy nights, believed to be their lingering presence."
Kaluga Oblast,"Vorotynsk","Duchess Vorotynskaya’s Lament","An old castle ruin said to be haunted by a mourning duchess who lost her husband in battle. Moonlight reveals her silhouette pacing the courtyard, head bowed in sorrow."
Kaluga Oblast,"Kondrovo","The Phantom Bell Ringer","A local church’s bell sometimes sounds without a ringer. People claim it tolls to warn the town of impending floods or fires."
Kaluga Oblast,"Medyn","White Wolf of Medyn Forest","A rare wolf with snowy fur is believed to protect lost travelers, leading them out of thickets. Some hunters vow they’ve seen it vanish like a ghost after guiding them to safety."
Kaluga Oblast,"Ugra National Park","Distant War Drums","Tied to the Great Stand on the Ugra River (1480), echoes of Tatar drums still rumble in the misty dawn. Fishermen swear they hear rhythmic beats reverberating off the riverbanks."

Kemerovo Oblast,"Kemerovo City","Shors Legends of Abandoned Mines","Indigenous Shor people speak of spirits watching over old coal pits. Miners report hearing chanting in unknown tongues and glimpses of shadowy forms deep underground."
Kemerovo Oblast,"Mezhdurechensk","Mountain Spirit of Kuznetsk Alatau","Hikers mention a giant man-like figure prowling ridges at twilight. Some call it a protective being that wards off avalanches for respectful mountaineers."
Kemerovo Oblast,"Prokopyevsk","Phantom Miner’s Lamp","A ghostly lantern appears in deserted shafts where tragic collapses occurred. If you follow its glow, local superstition says you'll discover lost tools or remains of missing workers."
Kemerovo Oblast,"Novokuznetsk","Kuznetsk Fortress Ghosts","Built in the early 1800s, rumored to host the spirits of guards and prisoners. Night watchmen hear iron gates creak and footsteps on cobblestone when no one else is there."
Kemerovo Oblast,"Belovo","Lake Inya Serpent","A local lake monster described as snake-like and large enough to overturn boats. Rare sightings occur on foggy mornings, fueling cryptid enthusiasts."
Kemerovo Oblast,"Tashtagol","Golden Woman of Gornaya Shoriya","A legendary goddess figure said to appear among golden autumn larches. Elders claim she grants hunters safe passage if they respect the forest."
Kemerovo Oblast,"Mariinsk","Spectral Convict of the Siberian Trakt","Once a major stop on the exile route, a lone convict in shackles is rumored to still wander local roads at night. Travellers hear rattling chains and faint pleas for mercy."
Kemerovo Oblast,"Yaya","Melancholy Whistle of the Taiga","Train engineers passing Yaya Station sometimes hear a high-pitched whistle echo in the forests. They suspect a lost locomotive’s spirit calling out from defunct tracks."
Kemerovo Oblast,"Kiselevsk","Lost Village of the Underground","Folklore suggests an entire settlement sank into a collapsed mine. On certain nights, townsfolk claim to see lights flickering beneath the earth."
Kemerovo Oblast,"Guryevsk","Wandering Blacksmith Spirit","A blacksmith shop once stood on town outskirts, destroyed by fire. People say the blacksmith’s ghost roams the ruins, hammer clangs echoing in the wind."

Kirov Oblast,"Kirov (Vyatka)","Khlynov’s Mysterious Tunnels","Beneath the old city, secret passages allegedly date back to medieval times. Adventurous locals speak of encountering bizarre symbols and hearing muffled voices underground."
Kirov Oblast,"Kotelnich","Pliosaur Guardian of the Vyatka River","Fossils discovered here inspire legends of a giant river beast that sometimes surfaces on foggy mornings. Fishermen trade tales of massive ripples and eerie roars echoing across the water."
Kirov Oblast,"Slobodskoy","Bell Maker’s Curse","An 18th-century bell maker cursed the city’s bells after being underpaid. Some say the bells occasionally ring with a discordant note, as though lamenting their creator's betrayal."
Kirov Oblast,"Yaransk","Miraculous Icon Apparitions","Home to revered icons that allegedly glow at night when storms approach. Villagers claim these icons have protected the town from lightning strikes for centuries."
Kirov Oblast,"Urzhum","Swamp Lights of the Pizhma","Glistening orbs seen hovering over marshy ground, leading travelers astray. Locals say they’re souls of the unbaptized or restless wanderers."
Kirov Oblast,"Sovetsk","Vyatka Lace Fairy","A spirit that teaches lace-making secrets to kindhearted artisans in their dreams. Some craftspeople awaken to find new intricate patterns they never learned consciously."
Kirov Oblast,"Orichevsky District","Whispering Pine Grove","The pines rustle in a way that sounds like human whispers. Elders advise travelers not to listen too closely, or they might be entranced and wander in circles."
Kirov Oblast,"Malmyzh","Dragon Stone by the Kama","A strange rock formation near the river said to resemble a slumbering dragon. Legends claim it was once alive, petrified by a saint’s prayer after terrorizing nearby villages."
Kirov Oblast,"Luzsky District","Forest Bee Spirit","Beekeepers tell of a guardian spirit that protects wild hives from poachers. Stealing honey without offering thanks leads to relentless bee swarms and lost directions in the forest."
Kirov Oblast,"Belaya Kholunitsa","Iron Ghosts of the Old Foundry","The town grew around an 18th-century ironworks. At night, an otherworldly clang resonates from disused furnaces, as though ghostly workers are forging metal once more."

Kostroma Oblast,"Kostroma City","Susanin’s Phantom Footsteps","Ivan Susanin famously misled Polish troops here in 1613, sacrificing himself. On foggy nights, soft footsteps and hushed voices are heard near historic sites, believed to be Susanin guiding lost souls."
Kostroma Oblast,"Ipatiev Monastery","Romanov Miracle Bell","Legend says a bell tolled on its own to announce the first Romanov tsar. Pilgrims occasionally hear faint ringing from the belfry even when it’s locked."
Kostroma Oblast,"Sudislavl","City of the Sleeping Princess","Named after a princess rumored to be enchanted in an underground palace. Local lore claims you can hear her singing on nights of a full moon, echoing through ancient passageways."
Kostroma Oblast,"Galich","Lake Galich Idol","A submerged pagan idol supposedly rests at the bottom of this lake. Fishermen speak of glimpsing a golden silhouette in the depths when the sun is just right."
Kostroma Oblast,"Buy","Midnight Barges on the Kostroma River","Phantom riverboats from the merchant era appear under starlight. Residents claim to see them drifting silently, lanterns glowing, then vanishing without a trace."
Kostroma Oblast,"Nerekhta","Bakery Poltergeist","A centuries-old bakery is said to have a playful spirit knocking flour sacks over and moving bread trays at night. Workers leave a small pastry offering to keep it appeased."
Kostroma Oblast,"Soligalich","Healing Spring Wraith","This mineral spring is famed for cures, but some nights a wraith in white is seen drifting across the waters. Locals interpret it as the spirit of a noblewoman who died seeking miraculous healing."
Kostroma Oblast,"Makaryevo","Pirates of the Unzha","River bandits once terrorized the area, rumored to bury stolen treasure along the banks. Tales persist of a hooded figure scanning the shoreline for gold at twilight."
Kostroma Oblast,"Manturovo","Pine Spirit’s Sigh","In the dense pine forests, a gentle sighing sound is heard on windless evenings. Foresters say it’s the pine spirit mourning the loss of old-growth trees."
Kostroma Oblast,"Antropovo","Iron Dragonfly of the Fields","A mechanical-sounding buzz at dusk is said to come from a giant dragonfly spirit. Few have reportedly glimpsed it, describing metallic wings shimmering in fading light."

Krasnoyarsk Krai,"Krasnoyarsk City","Paraskeva Pyatnitsa Chapel Lights","High on Karaulnaya Hill, a solitary chapel is known for mysterious lights at midnight. Locals claim these glows signal blessings—or warnings—from a saintly presence."
Krasnoyarsk Krai,"Stolby Nature Reserve","Stone Pillar Guardian","A legendary climber who fell to his death is said to guard the pillars in spirit form. Hikers mention hearing faint calls urging caution near steep outcrops."
Krasnoyarsk Krai,"Norilsk","Tundra Wraith of the Midnight Sun","During polar days, some explorers see a pale figure drifting across the permafrost. Whispers say it’s a lost Gulag prisoner, eternally wandering the endless daylight."
Krasnoyarsk Krai,"Dikson (Arctic Coast)","Ghost Ship of the Kara Sea","Ice-locked vessels from early expeditions occasionally appear in illusions on the horizon. Researchers talk of sightings of old hulls gliding through pack ice and then disappearing."
Krasnoyarsk Krai,"Minusinsk","Minusinsk Hollow Shaman Stones","Sacred stones set by ancient tribes, believed to channel healing energy. Nighttime visitors hear distant drumming and see swirling orbs around these petroglyph sites."
Krasnoyarsk Krai,"Taimyr Peninsula","Reindeer Spirit of the North","Nenets and Dolgan peoples speak of a giant white reindeer guiding lost herders to safety. Some claim miraculous rescues, seeing the reindeer vanish once they reach shelter."
Krasnoyarsk Krai,"Kansk","Wailing Pine of Kansk Forest","A lone pine that emits eerie howls when the wind picks up. Locals say it’s haunted by a girl who perished in a snowstorm beneath its branches."
Krasnoyarsk Krai,"Yenisei River (near Krasnoyarsk)","The Old Ferry Phantom","A ferry operator drowned decades ago; boaters now see a spectral ferry crossing on foggy nights. Some hear an engine chugging softly across still waters, though no boat is visible."
Krasnoyarsk Krai,"Shushenskoye","Lenin’s Lost Specter","Vladimir Lenin was exiled here in the 1890s. A few residents claim glimpses of a hunched man in 19th-century clothes pacing along riverbanks at sunrise."
Krasnoyarsk Krai,"Putorana Plateau","Hidden Lake Monster","Remote crater lakes spark rumors of a huge aquatic creature. Helicopter pilots have reported large ripples with no known source in remote mountain lakes."

Kursk Oblast,"Kursk City","Kursk Nightingale’s Lament","Kursk is famous for its nightingales, and a ghostly bird is said to sing near old orchard ruins. Late-evening strollers swear the song feels heartbreakingly human."
Kursk Oblast,"Rylsk","Phantom Monks of the Seim River","An ancient monastery once stood here; robed figures allegedly roam the riverbank. At times, chanting can be heard across the water just before dawn."
Kursk Oblast,"Zheleznogorsk","Ghost Miners of the Iron Pit","The open-pit mine has seen accidents over decades. Workers occasionally spot spectral figures with pickaxes trudging along the pit’s edge."
Kursk Oblast,"Fatezh","Swamp Will-o’-the-Wisps","Blue flames hover over marshy land at night, rumored to be souls of those who died in vain. Peasants historically left lanterns by the roadside to guide lost travelers away from these illusions."
Kursk Oblast,"Sudzha","Bell Tower Underwater","Part of an old church was submerged by a reservoir project; some nights the bell tower spire emerges in a mirage. Locals claim to hear muffled tolls resonating beneath the waves."
Kursk Oblast,"Manturovo (Kursk region)","Woodland Hag","A witchlike creature who curses anyone who chops old oaks without permission. Hunters speak of hearing cackling or glimpsing a hunched figure weaving between the trunks."
Kursk Oblast,"Kurchatov","Nuclear Lake Apparition","A cooling pond near the nuclear plant is rumored to have a glowing figure walking its banks. Workers chalk it up to radiation scare stories, but sightings persist."
Kursk Oblast,"Tim","Cursed Estate Ruins","Remains of a noble’s mansion said to be hexed after a family tragedy. Nighttime passersby hear sobbing and see faint candlelight in roofless rooms."
Kursk Oblast,"Oboyan","Cherry Orchard Poltergeist","A once-thriving orchard is rumored to be haunted by a poltergeist that shakes blossoms from trees out of season. Gatherers find random piles of fresh petals on the ground, even in autumn."
Kursk Oblast,"Glushkovo","Whispering Birch Grove","A grove of birch trees known for soft whisper-like sounds in still air. Some claim it’s the voices of parted lovers who met secretively among those trees."

Lipetsk Oblast,"Lipetsk City","Mineral Spring’s Healing Spirit","Known for spa treatments since Peter the Great’s era. Visitors to the springs occasionally see a luminous shape near the water, believed to be a benevolent healing spirit."
Lipetsk Oblast,"Yelets","Cossack Ghost of the Bystraya Sosna","A fallen Cossack warrior is said to ride along the river at midnight. Eerie hoofbeats and the clank of sabers echo on still summer nights."
Lipetsk Oblast,"Gryazi","Railway Poltergeist","Founded as a railway junction, station staff report doors slamming and phantom train whistles at odd hours. Some believe it’s the spirit of an engineer who died in a crash."
Lipetsk Oblast,"Dankov","Fortress of the Don River Wraiths","Medieval fortress ruins allegedly shelter ghosts of captured soldiers. Locals spot spectral figures pacing along broken ramparts in heavy chain armor."
Lipetsk Oblast,"Lebedyan","Old Horse Fair Specters","Famed for horse markets in the 19th century, ghostly neighs and stamping hooves sometimes resonate through deserted fairgrounds. Farmers talk of spectral horse traders wandering at dawn."
Lipetsk Oblast,"Chaplygin (Ranenburg)","Phantom Lord’s Coach","A nobleman’s carriage once crashed into a ravine; locals claim to see a ghostly coach ride out of the fog. Hoofbeats thunder past, then abruptly fade into silence."
Lipetsk Oblast,"Usman","Count’s Forest Guardian","A forest once owned by a count rumored to have imprisoned a local spirit. Woodcutters who venture too deep sometimes encounter strange illusions of a robed figure blocking paths."
Lipetsk Oblast,"Krasnoe","The Scarlet Maid","A tragic love story ended with a maiden’s suicide; she appears near the fields at sunset. Her red scarf is said to glow fiercely, a symbol of her unfulfilled passion."
Lipetsk Oblast,"Khlevnoye","Burning Mill Shadow","A windmill destroyed by fire is rumored to reappear as a shadow on moonlit nights. Villagers hear the creak of its vanes and smell charred wood in the breeze."
Lipetsk Oblast,"Dolgorukovo","Black Goat of the Hills","An omen of misfortune if seen at night, believed to be a shape-shifted demon. Shepherds keep their flocks away from the goat’s rumored territory."

Magadan Oblast,"Magadan City","Ghosts of the Kolyma Gulag","Countless prisoners perished in these harsh labor camps. Residents speak of moaning voices carried by Arctic winds and glowing apparitions near old barracks."
Magadan Oblast,"Jack London Lake","Howling Mountain Wolves","Named whimsically after the American author, the lake is surrounded by peaks. Campers say wolf-like howls echo at dusk, yet no wolves are ever seen."
