latitude	longitude	hospitalLabel
58.270795	-3.4781581	Loedebest,chambered cairn 
54.937976	-4.8075088	Long cairn, 
58.070846	-3.787802	Lothbeg Bridge,long cairn 
58.085471	-4.9608359	Loynemore East, chambered cairn 
55.325226	-5.5697378	Macharioch,chambered cairn
58.9966	-3.1882	Maes Howe
57.393859	-4.1988593	Mains of Gask,ring cairn and standing stones 
57.5608	-3.752	Mains of Moyness
60.420327	-1.4078484	Mangaster,chambered cairn 
60.493305	-1.5984173	March Cairn,chambered cairn 
58.373376	-3.1709262	McCole's Castle, chambered cairn
57.64834	-2.04084	Memsie Cairn
56.65096	-3.8186254	Middleton of Derculich, chambered cairn 
59.15655	-3.09916	Midhowe Chambered Cairn
59.202727	-2.7589555	Mill Hill, chambered cairn, Millbounds
58.527178	-3.4263717	Mill of Knockdee,chambered cairn SSW of
58.550823	-3.6227921	Mill of Knockglass, cairn 
58.551888	-3.6223774	Mill of Knockglass, long cairn 
57.708833	-4.2531974	Millcraig,chambered cairn
55.567368	-5.267579	Moinechoill,long cairn,Glean an t'Suidhe
59.277488	-2.382322	Mount Maesry
59.277516	-2.382112	Mount Misery,chambered cairn,Start Point
60.494352	-1.5942365	Muckla Water,chambered cairn 
60.775732	-0.84415936	Muckle Heog,two chambered cairns,Baltasound
57.539172	-4.43044	Muir of Conon,chambered cairn 
58.877122	-2.8236149	North Cairn,chambered cairn,Rose Ness
60.304523	-1.4751576	North Ward,chambered cairn,Noonsbrough
59.133807	-2.9205315	Onziebust, chambered cairn 
58.36983333	-3.14319444	Ormiegill North
58.49249	-3.3274	Oslie, chambered cairn 
53.317502	-4.238658	Pant-y-Saer
51.975898	-3.238159	Pen y Wyrlod Long Cairn
60.3675	-0.941227	Pettigarths Field Cairns
53.6499	-2.56578	Pikestones
59.310159	-2.9407159	Point of Cott chambered cairn
57.566396	-4.5747643	Preas Mairi,chambered cairn
60.423777	-1.4124168	Punds Water
60.42388889	-1.41222222	Punds Water
60.246944444	-1.271666666	Quina Scord chambered cairn
60.246951	-1.2716039	Quina Scord chambered cairn
59.2256	-2.56824	Quoyness chambered cairn
59.350156	-2.8685978	Ramni Geo, chambered cairn 
57.822169	-4.1434531	Red Burn, chambered cairn 
57.979443	-3.9801647	Rhives, chambered cairn 
52.827376	-4.617459	Rhiw Burial Chambers
52.827591	-4.6170864	Rhiw Burial Chambers
59.011563	-3.2494428	Ring of Bookan,chambered cairn 
60.533311	-1.4450015	Ronas Hill, chambered cairn
60.316896	-1.6936787	Round Hill,chambered cairn,Papa Stour
57.163867	-6.313014	Rubh'an Dunain,chambered cairn,Soay Sound
59.181337	-2.7694699	Sandhill, chambered cairn 
55.656259	-5.1531638	Sannox,chambered cairn
57.756961	-4.1606676	Scotsburn House, chambered cairn 
60.219064	-1.4687266	Setter,chambered cairn 
55.121313	-4.6078717	Sheuchan's Cairn, chambered cairn, Highlandman's Rig
56.207982	-5.6116651	Shuna Cottage,cairn 
58.502861	-3.6322819	Shurrery Kirk
58.50643	-3.6341297	Shurrery Kirk,chambered cairn
58.496114	-3.6131632	Sithean Buidhe, chambered cairn 
58.39151	-4.2033547	Skail, chambered cairn 
58.47396	-4.1880032	Skelpick Lodge,chambered cairn 
58.480038	-4.1924294	Skelpick, long cairn 
58.374022	-3.1904218	South Yarrows,long cairn 
58.548636	-3.4264189	Stemster Hill, chambered cairn 
58.543646	-3.4203746	Stemster, long cairn 
57.738081	-4.2707253	Stittenham House,chambered cairn 
57.370064	-4.1906824	Stonehenge House, chambered cairn 
59.024855	-3.290635	Stones of Via, enclosure and stone setting, Loch of Clumly
51.3134	-2.38174	Stoney Littleton Long Barrow
58.04894	-4.881722	Strathseasgaich, chambered cairn 
58.69509	-3.11831	Stroma Lighthouse,chambered cairn 
57.351001	-6.4286323	Struanmore, chambered cairn 
60.187876	-1.4501	Swart-Houll,chambered cairn 
57.51449	-4.4223686	Tarradale, chambered cairn 
55.283232	-4.277909	The King's Cairn,chambered cairn and cairn 
58.016767	-4.4148074	The Ord, chambered cairns, cairns, settlements and field systems
58.74	-2.922	Tomb of the Eagles
58.51799	-3.6179103	Torr Bann Na Gruagaich,chambered cairn
58.484064	-3.608494	Torr Beag, chambered cairn 
55.477902	-5.1029139	Torran Loisgte, chambered cairn 
55.44072222	-5.23413889	Torrylin Cairn
55.44077	-5.23406	Torrylin Cairn
60.551644	-1.3418552	Trowie Knowe chambered cairn
58.519562	-3.620043	Tulach Buaile Assery,chambered cairn
57.270665	-3.7182881	Tullochgorum,chambered cairn & stone circle 
57.352874	-6.4512218	Ullinish Lodge,chambered cairn,Bracadale
58.266266	-3.3919191	Upper Latheron,chambered cairn 
60.331649	-1.4663919	Vementry,chambered cairn,Muckle Ward
60.198676	-1.5289729	Vivilie Loch, chambered cairn 
60.247635	-1.5182996	Ward of Browland,chambered cairn
60.338734	-1.0345451	Ward of Symbister Ness Chambered Cairn
58.355369	-3.1696635	Watenan,fort 165m NW of,Ulbster
60.724308	-0.9071253	Watlee chambered cairn, 
57.574679	-4.459034	Whiteleys, chambered cairn 
58.99328	-3.02934	Wideford Hill Chambered Cairn
51.6744	-2.0989	Windmill Tump
57.618886	-4.2604844	Woodhead,chambered cairn 
52.583609	-3.471111	Y Glonc, Chambered Cairn
59.231818	-2.7397297	cairns of the Calf of Eday
60.398601	-1.3943785	chambered cairn 
59.22611111	-2.7725	chambered cairn on Vinquoy Hill
59.227353	-2.772521	chambered cairn on Vinquoy Hill
58.534823	-3.6029515	chambered cairns at Tulloch Of Assery
46.425031	-1.431483	tumulus du Pey of Fontaine
46.4251	-1.4315	tumulus du Pey of Fontaine
