item,label,country,location
http://www.wikidata.org/entity/Q106524135,Sequoiadendron giganteum in Ivaylovgrad,http://www.wikidata.org/entity/Q219,Point(26.094138 41.513266)
http://www.wikidata.org/entity/Q12051342,Sekvojovec v Chabaních,http://www.wikidata.org/entity/Q213,Point(17.3478 49.1111)
http://www.wikidata.org/entity/Q5532789,Genesis,http://www.wikidata.org/entity/Q30,Point(-118.669395 36.215119)
http://www.wikidata.org/entity/Q16895088,Methuselah,http://www.wikidata.org/entity/Q30,Point(-118.68 36.2403)
http://www.wikidata.org/entity/Q106523380,Sequoiadendron giganteum in Pazardzhik,http://www.wikidata.org/entity/Q219,Point(24.309444 42.203333)
http://www.wikidata.org/entity/Q17080205,Monroe,http://www.wikidata.org/entity/Q30,Point(-118.76939 36.5571)
http://www.wikidata.org/entity/Q5609795,Grizzly Giant,http://www.wikidata.org/entity/Q30,Point(-119.601 37.5035)
http://www.wikidata.org/entity/Q117406769,Mammutbaum in Bensheim,http://www.wikidata.org/entity/Q183,Point(8.632918 49.699006)
http://www.wikidata.org/entity/Q16205728,Allen Russell,http://www.wikidata.org/entity/Q30,Point(-118.67643 36.22342)
http://www.wikidata.org/entity/Q106523930,Sequoiadendron giganteum in Varshets,http://www.wikidata.org/entity/Q219,Point(23.285284 43.192896)
http://www.wikidata.org/entity/Q117406708,Mammutbaum am Schloss Falkenberg,http://www.wikidata.org/entity/Q183,Point(8.641969 49.685872)
http://www.wikidata.org/entity/Q7596912,Stagg,http://www.wikidata.org/entity/Q30,Point(-118.61878 36.19131)
http://www.wikidata.org/entity/Q5674087,Hart,http://www.wikidata.org/entity/Q30,Point(-118.891 36.6952)
http://www.wikidata.org/entity/Q21086203,Sequoia de Masjoan,http://www.wikidata.org/entity/Q29,Point(2.41214 41.87053)
http://www.wikidata.org/entity/Q16993778,Franklin,http://www.wikidata.org/entity/Q30,Point(-118.75864 36.56771)
http://www.wikidata.org/entity/Q113330589,Mark Twain Tree,http://www.wikidata.org/entity/Q30,Point(-118.965 36.717)
http://www.wikidata.org/entity/Q106524198,Sequoiadendron giganteum in Botevgrad,http://www.wikidata.org/entity/Q219,Point(23.808498 42.880876)
http://www.wikidata.org/entity/Q85771389,John Adams,http://www.wikidata.org/entity/Q30,Point(-118.75404 36.5699)
http://www.wikidata.org/entity/Q4678611,Adam,http://www.wikidata.org/entity/Q30,Point(-118.673 36.2434)
http://www.wikidata.org/entity/Q16976639,Ishi Giant,http://www.wikidata.org/entity/Q30,Point(-118.81062 37.76143)
http://www.wikidata.org/entity/Q108903082,Mammutbaum im Aachener Stadtgarten,http://www.wikidata.org/entity/Q183,Point(6.096561277 50.782526184)
http://www.wikidata.org/entity/Q42418709,Giant sequoia,http://www.wikidata.org/entity/Q31,Point(4.390744444 50.805238888)
http://www.wikidata.org/entity/Q17107557,Euclid Tree,http://www.wikidata.org/entity/Q30,Point(-118.6777 36.2294)
http://www.wikidata.org/entity/Q106523383,Sequoiadendron giganteum in Belovo,http://www.wikidata.org/entity/Q219,Point(24.021983 42.213916)
